id,2023-09-30
MLA1385237003,41999.0
MLA822926411,4424.58
MLA1215433233,15363.0
MLA934000488,6051.0
MLA1111542469,14500.0
MLA1464123098,44424.0
MLA1374759045,17790.0
MLA1283585622,23062.5
MLA1275390611,10110.32
MLA1522271362,23000.0
MLA608861600,114900.0
MLA930991147,19600.0
MLA1109775616,37125.0
MLA1439878216,4699.0
MLA1371493237,3417.0
MLA1337928561,5568.71
MLA1254979710,13852.0
MLA1130039795,14699.0
MLA1142225981,3489.25
MLA1136009100,2018.7
MLA1332146262,49572.5
MLA1228173004,1490.0
MLA1515192662,7150.0
MLA1132393597,42662.0
MLA876574295,2464.0
MLA1157310853,69379.07
MLA897511300,2400.0
MLA878621938,11408.0
MLA829710202,10406.85
MLA1156508912,3500.0
MLA854725227,21289.0
MLA1387989495,15199.0
MLA1119304553,950.0
MLA1480427094,2500.0
MLA874960142,4971.7
MLA1398596702,3937.75
MLA1506625472,8662.0
MLA1383534065,44999.0
MLA922684898,10566.15
MLA1389688999,4299.0
MLA1458425908,2946.97
MLA1332149326,20999.0
MLA777293540,2127.24
MLA1378582354,3499.0
MLA1406445200,923.0
MLA1362894945,648.0
MLA1370603395,22500.0
MLA1454376264,1699.0
MLA1374125488,1400.0
MLA882752513,947.0
MLA1217309011,1364.8
MLA1146063082,225999.0
MLA1359560810,18449.1
MLA1379327843,5899.41
MLA1107516542,9087.0
MLA900180254,19490.0
MLA860986021,1550.0
MLA1434517976,7500.0
MLA1112969994,17335.56
MLA762530155,5580.54
MLA1380249523,15009.0
MLA1146783311,3900.0
MLA1329527864,1681.79
MLA1338580674,9506.4
MLA770248672,2199.99
MLA1481594308,3449.99
MLA1387172753,1550.0
MLA1198487948,3390.0
MLA841757520,30529.0
MLA1183726216,4768.05
MLA1119896294,9199.0
MLA1121046338,2808.0
MLA862170922,3400.0
MLA1124693273,15322.0
MLA1266547546,26698.5
MLA1218461801,2185.0
MLA1100226032,7890.0
MLA1416238338,10824.79
MLA1463505528,11719.99
MLA1399038440,7199.0
MLA768384089,3799.99
MLA872069191,12999.0
MLA1398010092,42900.0
MLA1131497277,8540.0
MLA1370046204,365267.0
MLA769933107,10000.0
MLA1286248984,1133.0
MLA1457265912,20699.0
MLA1130027702,76328.0
MLA1452047634,980.52
MLA1131361289,8998.0
MLA1383780385,12455.0
MLA1387813359,5673.0
MLA1106252603,4750.0
MLA1346977789,4278.67
MLA1135237799,1693.0
MLA1401339354,799.0
MLA580027185,2399.01
MLA1381145615,34739.0
MLA1144164165,27999.0
MLA1383731755,61740.5
MLA873908520,17200.0
MLA924473189,2736.0
MLA1112893396,9990.0
MLA1101783079,123200.0
MLA1386080403,20879.13
MLA932767901,4509.0
MLA1439329274,36099.0
MLA1131359403,124346.5
MLA1121981984,10702.0
MLA1382958689,5199.0
MLA1441463058,6268.86
MLA1485858684,79999.0
MLA1376762375,249.0
MLA1493671010,21375.0
MLA1214659010,1999.0
MLA1122992537,3149.1
MLA1211621635,2738.0
MLA1114376020,38454.98
MLA1430815402,1626.24
MLA1442947590,4249.99
MLA1448207674,31199.0
MLA1405779204,3990.0
MLA1489049254,29199.0
MLA1444366400,1192.8
MLA1131620704,7499.0
MLA604480729,13388.0
MLA1149315440,31110.0
MLA930423283,3022.0
MLA1186466623,3280.49
MLA1375118305,1988.49
MLA1378257203,3499.0
MLA883254760,7990.0
MLA1412138600,3205.0
MLA1492601660,13329.64
MLA812581237,3849.27
MLA1104876634,4156.81
MLA881076391,16690.0
MLA1140592488,3950.0
MLA815972052,60014.0
MLA634508721,8998.2
MLA660234786,12001.0
MLA1148967857,5999.0
MLA1454074450,6510.0
MLA922298981,7588.73
MLA610881219,167540.0
MLA733044608,3199.99
MLA1121245607,1774.0
MLA1133760311,50000.0
MLA1375821485,13382.7
MLA1379321083,9489.55
MLA926885967,11060.0
MLA1372497559,70999.0
MLA1214463962,11800.0
MLA812445246,16645.0
MLA1454203548,15052.0
MLA928716810,6255.0
MLA926362620,890.0
MLA1105716024,14499.0
MLA1351091784,13900.0
MLA665523379,7970.4
MLA1519568292,192999.0
MLA1150234444,22999.0
MLA1385714141,8356.95
MLA1451191100,12900.0
MLA733045869,2999.99
MLA932567030,21539.0
MLA915209337,6847.5
MLA1147000841,3519.99
MLA651598578,63257.0
MLA1449785206,34731.47
MLA772758875,15500.0
MLA1366576469,30399.0
MLA1229451055,4122.85
MLA933661022,15839.12
MLA906648096,1997.0
MLA904482343,721.81
MLA857445836,11420.0
MLA1109143966,7999.0
MLA934285771,29885.0
MLA766577811,31524.25
MLA1119493561,17725.0
MLA1389624085,8160.5
MLA871686902,32233.59
MLA1384578281,25365.93
MLA662373396,18900.0
MLA861737836,104008.0
MLA1111026422,52799.12
MLA1518066960,10377.59
MLA1296997064,1499.0
MLA1287059481,2242.5
MLA868897753,12558.0
MLA811591757,4418.92
MLA1387438343,5099.0
MLA1147411358,801.57
MLA1136511960,570.6
MLA924905072,24250.0
MLA1372380013,42559.0
MLA1361642460,7690.5
MLA1138015616,2449.3
MLA1366746841,915.0
MLA607305285,3529.0
MLA910463295,6475.92
MLA918514024,31700.0
MLA1255211040,13450.0
MLA1300784340,29242.4
MLA1102025237,5750.0
MLA1468937972,233307.36
MLA1124120754,2500.0
MLA1441941630,1236.19
MLA1381259089,24990.0
MLA1142493406,6398.03
MLA819805589,2870.0
MLA618524310,2899.99
MLA834284852,78849.05
MLA1154270368,4311.0
MLA871638721,960.0
MLA1264159384,6992.42
MLA1439039630,102133.0
MLA1398449350,3740.0
MLA909845304,2750.0
MLA1133217373,103600.0
MLA1104788691,9499.0
MLA819407528,3804.24
MLA1284845649,17991.0
MLA842089324,3600.0
MLA1182268321,9999.0
MLA1315752447,3680.0
MLA1132742249,11339.0
MLA1223518711,8800.0
MLA1156516231,543.14
MLA1140333877,5759.0
MLA1128872556,9408.79
MLA1366132975,3140.0
MLA1131934756,35621.1
MLA918861065,13532.0
MLA1378623518,3393.0
MLA768717962,15299.0
MLA1259110155,3594.0
MLA933644730,2499.0
MLA1371962785,10199.0
MLA675660125,7599.0
MLA1327065807,1740.0
MLA858342259,143629.0
MLA1382775036,23232.0
MLA1266627705,4259.9
MLA619053853,28500.0
MLA1378516485,7900.0
MLA1406352594,6110.0
