id,2024-03-31,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16
MLA1377607761,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0,12964.0
MLA776624343,52815.6,52815.6,52815.6,52815.6,52815.6,50928.09,50928.09,50928.09,50928.09,50928.09,50928.09,50928.09,50928.09,50928.09,50928.09,67068.0,67068.0
MLA1243387711,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52,53280.52
MLA812625684,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4,161231.4
MLA882998501,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0,10744.0
MLA1481617096,14952.0,14952.0,14952.0,14952.0,21360.0,21360.0,21360.0,21360.0,21360.0,21360.0,14952.0,14952.0,14952.0,14952.0,14952.0,14952.0,14952.0
MLA1108827379,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,14487.0,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,20697.0
MLA1384258039,16790.0,16790.0,16790.0,16790.0,16790.0,16790.0,16790.0,16790.0,14271.5,14271.5,14271.5,14271.5,14271.5,14271.5,14271.5,14271.5,16790.0
MLA1543064482,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0
MLA1386166299,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0,4950.0
MLA909817212,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0,9334.0
MLA1374395369,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0,11513.0
MLA1389314435,18373.0,18373.0,18373.0,18373.0,18373.0,18373.0,18373.0,17145.0,18373.0,15923.0,18373.0,17145.0,17145.0,17145.0,17145.0,17145.0,24498.0
MLA1384730121,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0,18144.0
MLA1384730105,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0,12054.0
MLA1240820123,17979.0,17979.0,17979.0,17979.0,17979.0,17979.0,17979.0,17979.0,17979.0,17979.0,17979.0,17979.0,16781.0,16781.0,16781.0,23973.0,23973.0
MLA1519541124,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0,15099.0
MLA1411953625,13813.0,13813.0,13813.0,13977.0,13977.0,13977.0,13977.0,13977.0,9811.0,9811.0,9811.0,9811.0,9811.0,9811.0,9811.0,16444.7,16444.7
MLA1481617098,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0,7455.0
MLA1507032806,30999.0,30999.0,30999.0,30999.0,32499.0,32499.0,32499.0,32499.0,32499.0,32499.0,32499.0,30874.05,30874.05,30874.05,30874.05,32499.0,30874.05
MLA1599544564,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0,18684.0
MLA1481900286,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0,9335.0
MLA1384698689,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0,14994.0
MLA1462013352,20599.0,20599.0,20599.0,20599.0,21599.0,21599.0,21599.0,21599.0,21599.0,20999.0,20999.0,20999.0,20999.0,20999.0,20999.0,20999.0,20999.0
MLA1437846878,17976.0,17976.0,17976.0,17976.0,17976.0,17976.0,15279.0,15279.0,15279.0,14380.0,17976.0,15279.0,15279.0,15279.0,15279.0,15279.0,17976.0
MLA1384704703,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0,14280.0
MLA1108827380,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,14487.0,15522.0,15522.0,15522.0,15522.0,15522.0,15522.0,20697.0
