id,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17
MLA1207108338,7980.0,7980.0,7980.0,7980.0,8280.0,8280.0,8280.0,8280.0,8280.0,8280.0,8280.0,8280.0,8280.0,11426.4,11426.4,9826.7,9826.7,9826.7
MLA851809086,40470.8,43990.0,43990.0,43990.0,43990.0,46190.0,46190.0,46190.0,46190.0,46190.0,46190.0,46190.0,46190.0,63742.2,63742.2,54818.29,54818.29,54818.29
MLA855271021,37990.0,37990.0,37990.0,37990.0,37990.0,39890.0,39890.0,39890.0,39890.0,39890.0,39890.0,39890.0,46190.0,63742.2,63742.2,54818.29,54818.29,54818.29
MLA1394879967,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,4800.0,5500.0,5500.0,5500.0,5500.0,9900.0,9900.0,9900.0,8910.0,8910.0
MLA1150173671,25875.0,24581.25,24581.25,24581.25,24581.25,24581.25,24581.25,24581.25,24581.25,24581.25,24581.25,24581.25,24581.25,26375.0,26375.0,26725.0,26725.0,26725.0
MLA1558655822,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,5300.0,5300.0,5300.0,5300.0,9540.0,9540.0,9540.0,8586.0,8586.0
MLA618833142,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0,8900.0,8900.0,8900.0,8900.0,8900.0
MLA1361920259,10110.8,10110.8,10110.8,10110.8,10110.8,10110.8,10110.8,10110.8,10110.8,10990.0,10990.0,10990.0,14391.0,14391.0,14391.0,14391.0,14391.0,14391.0
MLA782162373,8870.0,8870.0,8870.0,8870.0,8870.0,8870.0,9800.0,9800.0,9800.0,9310.0,9310.0,9310.0,9310.0,11840.0,11248.0,11248.0,11248.0,11248.0
MLA1346228623,18694.85,18694.85,18694.85,18694.85,19629.59,19629.59,19629.59,19629.59,19629.59,19629.59,19629.59,20611.07,20611.07,22672.18,22672.18,22672.18,22672.18,22672.18
MLA1126353217,2049.0,2049.0,2049.0,2049.0,2049.0,2049.0,2049.0,2049.0,2049.0,2049.0,2049.0,2049.0,2049.0,2277.0,2277.0,2277.0,2277.0,2277.0
MLA920370014,2838.0,2838.0,2838.0,2838.0,2838.0,2838.0,2838.0,2838.0,2838.0,2838.0,2838.0,2838.0,2838.0,3202.0,3202.0,3202.0,3202.0,3202.0
MLA1111189134,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0,24399.0
MLA924326902,6844.0,6844.0,6844.0,6844.0,6844.0,6844.0,6844.0,6844.0,6844.0,6844.0,6844.0,6844.0,6844.0,7995.0,7995.0,7995.0,7995.0,7995.0
MLA1263199658,5499.0,5008.68,5008.68,5008.68,5008.68,5008.68,5008.68,5008.68,5008.68,5008.68,5008.68,5008.68,5008.68,5008.68,5699.0,5699.0,5699.0,5699.0
MLA912602178,7360.43,7360.43,7360.43,7360.0,7360.0,7360.0,7360.0,7360.0,7360.0,7360.0,7360.0,8832.0,8832.0,10598.4,9538.56,9538.56,10100.0,10100.0
MLA1436453226,33230.0,33230.0,33230.0,33230.0,33230.0,33230.0,33230.0,33230.0,33230.0,33230.0,33230.0,33230.0,41538.0,41538.0,41538.0,41538.0,41538.0,41538.0
MLA1288029947,4454.0,5240.0,5240.0,5240.0,5240.0,5240.0,5240.0,5240.0,5240.0,5240.0,5240.0,5240.0,5240.0,5240.0,4712.0,4712.0,4712.0,4712.0
MLA919987429,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,2767.0,3098.0,3098.0,3098.0,3098.0,3098.0
MLA1112966120,3083.0,3083.0,3083.0,3083.0,3083.0,3083.0,3083.0,3083.0,3083.0,3083.0,3083.0,3083.0,3083.0,3482.0,3482.0,3567.0,3567.0,3567.0
MLA1475966454,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0,19949.0
MLA1391365623,9990.0,10990.0,10990.0,10990.0,10990.0,10990.0,10990.0,10990.0,10990.0,10990.0,10990.0,10990.0,14391.0,14391.0,14391.0,14391.0,14391.0,14391.0
MLA828413690,36214.5,36214.5,36214.5,36214.5,36214.5,36214.5,36214.5,36214.5,36214.5,36214.5,36214.5,36214.5,45276.0,39889.5,39889.5,39889.5,39889.5,39889.5
MLA1134901194,6690.0,6690.0,6690.0,6690.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0
MLA1146845173,17975.81,17975.81,17975.81,17975.81,18874.6,18874.6,18874.6,18874.6,18874.6,18874.6,18874.6,19818.33,19818.33,21800.16,21800.16,21800.16,21800.16,21800.16
MLA1147023050,4663.71,4663.71,4663.71,4663.71,6529.2,6529.2,6529.2,6529.2,6529.2,6529.2,6529.2,6855.66,6855.66,7541.23,7541.23,7541.23,7541.23,7541.23
MLA1365645991,3555.0,3555.0,3555.0,3555.0,3476.0,3476.0,3476.0,3476.0,3476.0,3476.0,3476.0,3476.0,3160.0,4873.0,4873.0,4873.0,4873.0,4873.0
MLA897380626,3820.76,4153.0,4153.0,4153.0,4153.0,4153.0,4153.0,4153.0,4153.0,4153.0,4153.0,4153.0,4153.0,5814.0,5814.0,5814.0,5814.0,5814.0
MLA1114603965,17900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0,24900.0
MLA930723219,22908.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,19173.0,24900.0
MLA1130671071,22990.0,22990.0,22990.0,22990.0,22990.0,22990.0,22990.0,22990.0,22990.0,22990.0,22990.0,22990.0,30300.0,41400.0,41400.0,41400.0,41400.0,41400.0
MLA843286524,8386.27,8386.27,8386.27,8390.0,8390.0,8390.0,8390.0,8390.0,8390.0,8390.0,8390.0,10068.0,10068.0,12081.6,10873.44,10873.44,12000.0,12000.0
MLA1365577315,8270.8,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,8990.0,9990.0,9990.0,9990.0,9990.0,9990.0
MLA1479408210,11499.0,11499.0,11499.0,11499.0,11499.0,11499.0,11499.0,11499.0,11499.0,11499.0,11499.0,19999.0,19999.0,25999.0,25999.0,25999.0,25999.0,25999.0
MLA927948907,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,7999.0,11999.0,11999.0,15599.0,15599.0,15599.0,15599.0,15599.0
MLA850369709,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94,35999.94
MLA871060556,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0,9499.0,8549.1,13299.0,13299.0,13299.0,13299.0,11999.0
MLA1314564590,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0,29089.0
MLA1157636371,16999.0,19999.0,19999.0,19999.0,19499.0,19499.0,19999.0,19999.0,19999.0,19999.0,19999.0,19999.0,19999.0,19999.0,19599.0,19599.0,19599.0,19599.0
MLA1385817757,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,12615.0,9699.0,12615.0,12615.0,12615.0,11115.0,11115.0,15332.0,15332.0,20868.0,20868.0,20868.0
MLA1164781571,3700.0,3700.0,3700.0,3700.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0
MLA1164480768,3700.0,3700.0,3700.0,3700.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0,3800.0
MLA1124566788,2672.91,2672.91,2672.91,2672.91,2672.91,2672.91,2672.91,2672.91,2672.91,2972.91,2972.91,2972.91,2972.91,2972.91,3472.91,3472.91,3472.91,3472.91
MLA1380876189,6668.0,6668.0,5800.0,6668.0,6668.0,5950.0,6668.0,6668.0,6668.0,6100.0,6668.0,6668.0,6668.0,6668.0,6668.0,6668.0,6668.0,6668.0
MLA1376282653,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,9899.0,9899.0,12899.0,12899.0,12899.0,12899.0,12899.0
MLA1466010074,11911.97,11316.37,11316.37,11316.37,11316.37,11316.37,11316.37,12334.85,12334.85,12334.85,12334.85,12334.85,12334.85,14624.66,14624.66,13893.43,13893.43,13893.43
MLA1390364407,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,7808.0,10931.0,10931.0,10931.0,10931.0,10931.0
MLA900833635,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,14899.0,14899.0,19399.0,23299.0,23299.0,23299.0,23299.0
MLA1394860397,14278.0,13564.1,13564.1,13564.1,13564.1,13564.1,13564.1,13564.1,13564.1,13564.1,13564.1,13564.1,14278.0,14278.0,14278.0,14278.0,14278.0,14278.0
MLA1388808275,9999.0,9999.0,9999.0,8999.1,8999.1,8999.1,8999.1,8999.1,8999.1,8999.1,8999.1,8999.1,9999.0,9999.0,11499.0,11499.0,11499.0,11499.0
MLA1544927014,17699.0,17699.0,17699.0,15929.1,15929.1,15929.1,15929.1,15929.1,15929.1,15929.1,15929.1,15929.1,15929.1,17699.0,19999.0,19999.0,19999.0,19999.0
MLA1527125954,967.19,967.19,967.19,967.19,967.19,967.19,967.19,967.19,967.19,967.19,967.19,967.19,1247.19,1247.19,1700.15,1700.15,1700.15,1700.15
MLA1387343101,1754.1,1851.3,1851.3,1851.3,1851.3,1851.3,1851.3,1851.3,1851.3,1851.3,1851.3,1851.3,1851.3,2989.0,2989.0,2719.99,2719.99,2719.99
MLA1437454842,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0,5777.0
MLA1488821898,5390.0,5390.0,5390.0,5390.0,5390.0,5390.0,5390.0,4851.0,4851.0,4851.0,4851.0,4851.0,4851.0,6642.09,6642.09,6642.09,6642.09,6642.09
MLA1387275831,6389.0,6316.2,6316.2,6316.2,6316.2,6316.2,6316.2,6316.2,6316.2,6316.2,6316.2,6316.2,6316.2,10179.0,10179.0,10179.0,10179.0,10179.0
MLA1377152568,24657.0,24657.0,24657.0,24657.0,24657.0,24657.0,24657.0,24657.0,24657.0,24657.0,24657.0,24657.0,24657.0,24657.0,15040.77,15040.77,15040.77,15040.77
MLA1120478904,3408.0,3408.0,3408.0,3408.0,3408.0,3408.0,3408.0,3408.0,3408.0,3408.0,3408.0,4156.1,4156.1,5242.58,5242.58,5242.58,5242.58,5242.58
MLA1523051398,3221.1,3484.8,3484.8,3484.8,3484.8,3484.8,3484.8,3484.8,3484.8,3484.8,3484.8,3484.8,3484.8,5619.0,5619.0,5057.1,5057.1,5057.1
MLA1523077440,3140.1,3375.9,3375.9,3375.9,3000.8,3000.8,3000.8,3000.8,3000.8,3000.8,3000.8,3000.8,3000.8,4895.1,4895.1,4351.2,4351.2,4351.2
