id,2023-09-24,2023-09-28,2023-09-29
MLA1117211837,21587.25,21587.25,21587.25
MLA739693381,4878.72,4878.72,4878.72
MLA617856611,7593.82,7593.82,7593.82
MLA627363077,70585.2,70585.2,74506.0
MLA1137733833,12764.5,12764.5,12902.5
MLA904219219,5488.56,5488.56,5488.56
MLA1117205152,21656.8,21656.8,21656.8
MLA1377763406,18588.0,18588.0,18588.0
MLA621189594,8038.78,8038.78,8038.78
MLA1144655889,20910.0,20910.0,20910.0
MLA667465828,18124.97,18124.97,18124.97
MLA683240766,20367.44,20367.44,20367.44
MLA616707817,4183.5,4183.5,4183.5
MLA1124817710,4241.13,4241.13,4241.13
MLA803865842,11798.72,11798.72,11798.72
MLA617855245,10032.71,10032.71,11147.46
MLA1112501618,16935.31,16935.31,16935.31
MLA917889972,50927.45,50927.45,50927.45
MLA1163813877,34999.0,34999.0,39989.0
MLA872049666,16999.0,16999.0,18999.0
MLA1356352050,36765.0,36765.0,36765.0
MLA1163814493,69999.0,69999.0,79999.0
MLA610309020,8497.5,8497.5,8837.4
MLA833155755,4199.0,4199.0,4199.0
MLA1424955832,20799.0,20799.0,20799.0
MLA874536828,15899.0,15899.0,15899.0
MLA833168678,17899.0,17899.0,17899.0
MLA1163481077,17499.0,17499.0,19999.0
MLA924380749,14875.0,14875.0,14875.0
MLA1138941113,24990.0,24990.0,24990.0
MLA1105623356,4699.99,4699.99,4699.99
MLA924716196,9334.0,9334.0,9334.0
MLA1369936191,84999.0,84999.0,84999.0
MLA1110640305,35199.0,35199.0,35199.0
MLA836983125,4490.0,4490.0,4490.0
MLA608032684,8950.0,8950.0,8950.0
MLA1106604291,86599.0,86599.0,86599.0
MLA1179049117,10199.0,10199.0,10199.0
MLA858342259,143629.0,143629.0,143629.0
MLA1421648060,29999.0,29999.0,32999.0
MLA658223407,14450.0,14450.0,14450.0
MLA756050576,13559.0,13559.0,13559.0
MLA1249464238,19580.0,19580.0,19737.0
MLA924394845,7999.0,7999.0,7999.0
MLA1171683052,16299.0,16299.0,16299.0
MLA1100608582,9900.0,9900.0,9986.0
MLA924714360,20999.0,20999.0,20999.0
MLA878856863,3817.0,3817.0,3817.0
MLA1201442857,20925.0,20925.0,20925.0
MLA1179933725,9009.0,9009.0,9009.0
MLA1446894504,14960.0,14960.0,14960.0
MLA1135438496,18425.0,18425.0,18425.0
MLA1141246627,15278.0,15278.0,15660.0
MLA1214447560,10700.0,10700.0,10700.0
MLA1145019128,7990.0,7990.0,7990.0
MLA1104522485,5060.0,5060.0,6500.0
MLA1476495190,29700.0,29700.0,29700.0
MLA843090094,5400.0,5400.0,5130.0
MLA1149442918,5589.0,5589.0,5589.0
MLA1110257574,17560.0,17560.0,16682.0
MLA619608170,14735.0,14735.0,14735.0
MLA1151076274,4399.99,4399.99,4399.99
MLA1135925561,20990.0,20990.0,20990.0
MLA856768044,143629.0,143629.0,143629.0
MLA914585626,5499.0,5499.0,5499.0
MLA1141348418,5022.0,5022.0,5999.0
MLA1128033379,31195.0,31195.0,31195.0
MLA1367699730,3589.0,3589.0,3589.0
MLA1476486536,18612.5,18612.5,18612.5
MLA1266813062,14299.0,14299.0,14451.0
MLA931268130,50285.04,50285.04,45256.53
MLA1149506627,5589.0,5589.0,5589.0
MLA711547980,16590.0,16590.0,15760.5
MLA1375306249,3522.6,3522.6,3522.6
MLA1389197550,1204.0,1204.0,1204.0
MLA1367536487,5490.0,5490.0,5490.0
MLA915229861,64468.0,64468.0,64468.0
MLA1135486379,20395.0,20395.0,20395.0
MLA1106566394,3990.0,3990.0,3990.0
MLA910180565,3673.95,3673.95,3673.95
MLA922684898,9510.0,9510.0,9510.0
MLA1408957574,3537.6,3537.6,4020.0
MLA765760656,11899.99,11899.99,11899.99
MLA923853129,5499.0,5499.0,5499.0
MLA793147557,6970.0,6970.0,7450.0
MLA1127580779,4489.99,4489.99,4489.99
MLA930617481,2199.99,2199.99,2199.99
MLA1108315219,28723.06,28723.06,28723.06
MLA838972573,24818.0,24818.0,24818.0
MLA1161256105,7940.0,7940.0,7940.0
MLA929834700,28629.0,28629.0,28629.0
MLA647614739,2299.0,2299.0,2299.0
MLA1488267796,7740.0,7740.0,7740.0
MLA1211519875,26951.65,26951.65,26951.65
MLA636709517,7989.99,7989.99,7989.99
MLA930508464,11099.0,11099.0,11099.0
MLA883254760,7990.0,7990.0,7990.0
MLA880054136,15155.0,15155.0,15155.0
MLA628201780,5058.9,5058.9,5058.9
MLA801388354,38999.22,38999.22,38999.22
MLA628623649,8499.0,8499.0,8499.0
MLA616885913,7899.0,7899.0,7899.0
MLA836320356,8799.0,8799.0,8799.0
MLA918631388,7579.0,7579.0,7579.0
MLA752287841,4999.0,4999.0,6499.0
MLA862867157,13999.0,13999.0,13999.0
MLA631499355,1210.17,1210.17,1210.17
MLA733735663,31020.0,31020.0,31020.0
MLA669405915,108940.0,108940.0,108940.0
MLA615428672,30798.9,30798.9,30798.9
MLA629062032,1999.0,1999.0,1999.0
MLA733735672,31020.0,31020.0,31020.0
MLA922822583,36296.0,36296.0,33000.0
MLA1109613080,2500.0,2500.0,2500.0
MLA801358441,38999.22,38999.22,38999.22
MLA1139494617,5860.0,5860.0,5860.0
MLA615905996,3999.0,3999.0,3999.0
MLA675949918,18999.0,18999.0,18999.0
MLA1124729125,106399.0,106399.0,106399.0
MLA679175976,13284.74,13284.74,13284.74
