id,2024-04-30,2024-05-01,2024-05-02,2024-05-03,2024-05-04,2024-05-05
MLA1730784114,1179.0,1179.0,1120.05,1331.0,1331.0,1331.0
MLA1157943626,2799.2,2799.2,2799.2,3683.16,3683.16,3683.16
MLA1337710570,4125.0,4125.0,4125.0,4342.0,4342.0,4342.0
MLA1402326737,900.0,900.0,900.0,900.0,900.0,900.0
MLA1446782052,1361.84,1293.74,1361.84,1361.84,1361.84,1361.84
MLA1302133531,4213.49,4213.49,4213.49,4213.49,4213.49,4213.49
MLA1451217778,3581.55,3223.39,3581.55,3581.55,3581.55,3581.55
MLA1628237188,4148.71,3733.83,4148.71,4148.71,4148.71,4148.71
MLA1635328784,1943.0,1943.0,1943.0,1943.0,1943.0,1943.0
MLA1380274887,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
MLA1141257847,728.37,691.95,728.37,728.37,728.37,728.37
MLA1332167262,13589.0,13589.0,13589.0,13589.0,13589.0,13589.0
MLA1141296773,728.37,691.95,728.37,728.37,728.37,728.37
MLA1298848890,2234.72,2234.72,2234.72,2234.72,2234.72,2234.72
MLA1415893207,1052.0,1052.0,776.15,776.15,776.15,776.15
MLA1283552803,1431.0,1351.5,1431.0,1431.0,1431.0,1431.0
MLA1414647171,2457.83,2457.83,2457.83,2457.83,2457.83,2457.83
MLA1368140361,2555.0,2413.05,2555.0,2555.0,2555.0,2555.0
MLA1229157936,1072.0,1018.4,1072.0,1072.0,1072.0,1072.0
MLA1156529409,1345.85,1278.55,1345.85,1345.85,1345.85,1345.85
MLA1618147632,1187.08,1127.72,1187.08,1187.08,1187.08,1187.08
MLA1423988976,832.0,832.0,832.0,832.0,832.0,832.0
MLA1218949523,1237.23,1235.38,1300.4,1300.4,1300.4,1300.4
MLA1359561390,862.9,819.75,862.9,862.9,862.9,862.9
MLA1561308650,41350.0,41350.5,51057.2,51057.2,51057.2,51057.2
MLA1129760797,1179.05,1120.09,1179.05,1179.05,1179.05,1179.05
MLA1297539983,1512.61,1512.61,1512.61,1768.0,1768.0,1768.0
MLA1425076984,513.15,513.15,513.15,513.15,513.15,513.15
MLA1156516176,681.39,647.32,681.39,681.39,681.39,681.39
MLA1263262368,513.15,487.49,513.15,513.15,513.15,513.15
MLA1531028888,1224.0,1224.0,1224.0,1224.0,1224.0,1224.0
MLA1415994557,1522.05,1522.05,1522.05,1522.05,1522.05,1522.05
MLA1141290202,728.37,691.95,728.37,728.37,728.37,728.37
MLA1174513875,1822.0,1822.0,1840.0,1840.0,1840.0,1840.0
MLA1353310024,1593.6,1593.6,1593.6,1593.6,1593.6,1593.6
MLA1229067163,673.82,640.12,673.82,673.82,673.82,673.82
MLA1266809071,2811.6,2811.6,2811.6,2811.6,2811.6,2811.6
MLA1410437105,2199.0,2199.0,2199.0,2199.0,2199.0,2199.0
MLA1240437566,2022.0,1294.08,1294.08,1294.08,1294.08,1294.08
MLA1218949231,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0
MLA1469931860,723.36,687.19,1423.36,1423.36,1423.36,1423.36
MLA1141175267,1869.15,1869.15,1869.15,2314.74,2314.74,2314.74
MLA1377546455,569.31,540.84,569.31,569.31,569.31,569.31
MLA1644477404,3040.0,3040.0,3547.71,3547.71,3547.71,3547.71
MLA1658646244,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
MLA1669104930,1994.43,1994.43,3324.05,3324.05,3324.05,3324.05
MLA1506175270,1222.99,1222.99,1222.99,1222.99,1222.99,1222.99
MLA1141227285,1869.15,1869.15,1869.15,2314.74,2314.74,2314.74
MLA1664965866,3059.0,3059.0,3059.0,3059.0,3059.0,3059.0
MLA1281066912,723.36,687.19,723.36,723.36,723.36,723.36
MLA1659992486,878.64,834.7,1578.64,1578.64,1578.64,1578.64
MLA1136552410,1493.02,1418.36,1493.02,1493.02,1493.02,1493.02
MLA1385412365,1617.12,1617.12,1617.12,1617.12,1617.12,1617.12
MLA1131389165,1280.06,1216.05,1280.06,1280.06,1280.06,1280.06
MLA1125780975,541.58,514.5,1241.58,1241.58,1241.58,1241.58
MLA1368887801,1212.83,1152.18,1212.83,1212.83,1212.83,1212.83
MLA1280827616,1149.99,1086.1,1149.99,1149.99,1149.99,1149.99
MLA1426692388,1445.08,1445.08,1445.08,1445.08,1445.08,1445.08
MLA1280840644,979.99,925.54,979.99,979.99,979.99,979.99
MLA1288667083,1629.25,1457.75,1457.75,1457.75,1457.75,1457.75
MLA1544919632,3887.54,3887.54,3887.54,3887.54,3887.54,3887.54
MLA1280808250,3740.87,4183.87,4429.98,4429.98,4429.98,4429.98
MLA1384734561,2879.0,2735.05,2879.0,2879.0,2879.0,2879.0
MLA1396988703,1566.55,1566.55,1401.65,1401.65,1401.65,1401.65
MLA1401967239,2726.5,2726.5,2726.5,2980.0,2980.0,2980.0
MLA1391211199,1653.6,1653.6,1653.6,1653.6,1653.6,1653.6
MLA1414421565,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
MLA1302133241,2923.69,2923.69,2923.69,2923.69,2923.69,2923.69
MLA1446795096,903.97,858.77,903.97,903.97,903.97,903.97
MLA1376237645,6863.58,6863.58,6863.58,6863.58,6863.58,6863.58
MLA1301661480,2170.71,2170.71,2170.71,2170.71,2170.71,2170.71
MLA1421739145,1011.0,1011.0,1011.0,1011.0,1011.0,1011.0
MLA1384214111,2079.0,2079.0,2079.0,2079.0,2079.0,2079.0
MLA1280821172,1429.99,1350.54,1429.99,1429.99,1429.99,1429.99
MLA1288667082,3320.25,3320.25,2970.75,2970.75,2970.75,2970.75
MLA1382047405,1155.09,1097.33,1155.09,1155.09,1155.09,1155.09
MLA1318632308,3141.65,3141.65,3141.65,4349.99,4349.99,4349.99
MLA1413006783,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0
MLA1511639362,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
MLA1391135961,1810.0,1719.5,1810.0,1950.0,1950.0,1950.0
MLA1167986225,2754.42,2754.42,4511.55,4511.55,2749.2,2749.2
MLA1288660730,2583.05,2583.05,2311.15,2311.15,2311.15,2311.15
MLA1286562737,12706.0,12706.0,12706.0,12706.0,12706.0,12706.0
MLA1286549775,9630.15,9630.15,9630.15,9630.15,10137.0,10137.0
MLA1635338952,3045.0,3045.0,3045.0,3045.0,3045.0,3045.0
MLA1278633767,2499.0,2499.0,2499.0,2499.0,2499.0,2499.0
MLA1528732150,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0
MLA1577031658,3280.0,3116.0,3280.0,3280.0,3280.0,3280.0
MLA1423077419,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0
MLA1384710601,2213.93,2213.93,2213.93,2213.93,2213.93,2213.93
