id,2023-12-31,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31
MLA805114074,20240.0,20240.0,20240.0,20240.0,20240.0,20240.0,20240.0,20240.0,20241.36,20241.36,22002.48,22002.48,20462.0,20462.0,20462.0,20462.0,20462.0,20462.0,20462.0,20462.0,20462.0,20462.0,23002.48,23002.48,23002.48,23002.48,23002.48,23002.48,23002.48,23002.48,23002.48,23002.48
MLA1365652709,70415.0,70415.0,70415.0,70415.0,70415.0,70415.0,70415.0,70415.0,70414.43,70414.43,70414.43,70414.43,70414.43,70414.43,70414.43,70414.43,70414.43,70414.43,70414.43,70414.0,70414.0,70414.0,70414.0,70414.0,67793.0,67793.0,70414.0,70414.0,70414.0,70414.0,70414.0,70414.43
MLA1136002775,25699.0,25699.0,25699.0,25699.0,25699.0,25699.0,25699.0,25699.0,25700.2,25700.2,27936.0,25980.48,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,25980.0,27936.0
MLA915021394,28008.0,29564.0,29564.0,29564.0,29564.0,29564.0,29564.0,29564.0,29564.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,28008.0,28008.0,28008.0,28008.0,28008.0,28008.0,28008.0,28008.0,28008.0,28008.0
MLA814530156,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99,13179.99
MLA1120310234,42504.16,42504.16,42672.94,42672.94,42672.94,42672.94,42672.94,42672.94,44918.89,44918.89,44918.89,42672.94,42672.94,42672.94,42672.94,42672.94,42672.94,42672.94,48568.26,46139.84,46139.84,46139.84,46139.84,46139.84,46139.84,46139.84,46139.84,46139.84,46139.84,41283.02,41283.02,41283.02
MLA1117481806,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,92370.62,101607.68,101607.68,101607.68,101607.68,101607.68,101607.68,101607.68
MLA787116870,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99,34869.99
MLA900686792,22932.0,22932.0,22932.0,22932.0,22932.0,22932.0,22932.0,22932.0,22932.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0
MLA787631499,22299.34,22299.34,22468.11,22468.11,22468.11,22468.11,22468.11,22468.11,23650.65,23650.65,23650.65,22468.11,22468.11,22468.11,22468.11,22468.11,22468.11,22468.11,26005.7,24705.41,24705.41,24705.41,24705.41,24705.41,24705.41,24705.41,24705.41,24705.41,24705.41,22104.84,22104.84,28957.81
MLA901338257,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0,25200.0
MLA902121607,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0,27700.0
MLA917427528,29564.0,29564.0,29564.0,29564.0,29564.0,29564.0,29564.0,29564.0,29564.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0,31120.0
MLA1120737868,63379.68,63379.68,63379.68,63379.68,63379.68,63379.68,63379.68,63379.68,63379.68,65209.6,70880.0,70880.0,67336.0,67336.0,67336.0,67336.0,70880.0,70880.0,71679.0,68095.05,68095.05,68095.05,64511.1,71679.0,71679.0,65227.89,71273.93,71273.93,71273.93,71273.93,71273.93,71273.93
